NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N306;N306_MOD;N306_LIB;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.13.3;Lupin doux;Groupe d'indicateurs;050.08;Superficie développée;3228;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.13.3;Lupin doux;Groupe d'indicateurs;070.01;Rendement;25.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;2;Choux, racines et tubercules fourragers;Groupe d'indicateurs;020.01;Production (volume);7527968;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;2;Choux, racines et tubercules fourragers;Groupe d'indicateurs;050.08;Superficie développée;11925;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;2.11;Chou fourrager;Groupe d'indicateurs;020.01;Production (volume);1646736;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;2.11;Chou fourrager;Groupe d'indicateurs;050.08;Superficie développée;4011;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;2.11;Chou fourrager;Groupe d'indicateurs;070.01;Rendement;410.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;2.19;Autres racines ou tubercules fourragères, n.c.a.;Groupe d'indicateurs;020.01;Production (volume);5881232;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;2.19;Autres racines ou tubercules fourragères, n.c.a.;Groupe d'indicateurs;050.08;Superficie développée;7914;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4;Cultures industrielles;Groupe d'indicateurs;020.01;Production (volume);388651008;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4;Cultures industrielles;Groupe d'indicateurs;050.08;Superficie développée;530019;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11;Betteraves industrielles et canne à sucre;Groupe d'indicateurs;020.01;Production (volume);380659099;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11;Betteraves industrielles et canne à sucre;Groupe d'indicateurs;050.08;Superficie développée;413121;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11;Betteraves industrielles et canne à sucre;Groupe d'indicateurs;070.01;Rendement;921.4;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11.1;Betterave industrielle;Groupe d'indicateurs;020.01;Production (volume);351260730;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11.1;Betterave industrielle;Groupe d'indicateurs;050.08;Superficie développée;373353;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11.1;Betterave industrielle;Groupe d'indicateurs;070.01;Rendement;940.8;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11.2;Canne à sucre;Groupe d'indicateurs;020.01;Production (volume);29398369;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11.2;Canne à sucre;Groupe d'indicateurs;050.08;Superficie développée;39768;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.11.2;Canne à sucre;Groupe d'indicateurs;070.01;Rendement;739.2;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12;Plantes à fibres (y compris semences);Groupe d'indicateurs;020.01;Production (volume);4921999;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12;Plantes à fibres (y compris semences);Groupe d'indicateurs;050.08;Superficie développée;67166;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12;Plantes à fibres (y compris semences);Groupe d'indicateurs;070.01;Rendement;73.3;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.1;Lin textile;Groupe d'indicateurs;020.01;Production (volume);4102817;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.1;Lin textile;Groupe d'indicateurs;050.08;Superficie développée;56448;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.1;Lin textile;Groupe d'indicateurs;070.01;Rendement;72.7;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.2;Chanvre papier;Groupe d'indicateurs;020.01;Production (volume);735549;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.2;Chanvre papier;Groupe d'indicateurs;050.08;Superficie développée;9597;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.2;Chanvre papier;Groupe d'indicateurs;070.01;Rendement;76.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.9;Autres plantes textiles, n.c.a. niv. 1;Groupe d'indicateurs;020.01;Production (volume);83633;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.9;Autres plantes textiles, n.c.a. niv. 1;Groupe d'indicateurs;050.08;Superficie développée;1121;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.12.9;Autres plantes textiles, n.c.a. niv. 1;Groupe d'indicateurs;070.01;Rendement;74.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.13;Cultures industrielles diverses;Groupe d'indicateurs;020.01;Production (volume);1880136;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;4.13;Cultures industrielles diverses;Groupe d'indicateurs;050.08;Superficie développée;13674;OUI
